district,neighborhood,district_n_reconciled,district_n,district_id,neighborhood_n_reconciled,neighborhood_n,neighborhood_id
Ciutat Vella,el Barri Gòtic,Ciutat Vella,ciutat vella,Q941385,Gothic Quarter,el barri gotic,Q17154
Nou Barris,Can Peguera,Nou Barris,nou barris,Q1641049,Can Peguera,can peguera,Q3320716
Nou Barris,la Trinitat Nova,Nou Barris,nou barris,Q1641049,La Trinitat Nova,la trinitat nova,Q3750932
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,sarria sant gervasi,Q1765582,Sant Gervasi – la Bonanova,sant gervasi la bonanova,Q3321657
Sarrià-Sant Gervasi,les Tres Torres,Sarrià-Sant Gervasi,sarria sant gervasi,Q1765582,Les Tres Torres,les tres torres,Q3297896
Eixample,l'Antiga Esquerra de l'Eixample,Eixample,eixample,Q64124,L'Antiga Esquerra de l'Eixample,l antiga esquerra de l eixample,Q3291762
Nou Barris,la Prosperitat,Nou Barris,nou barris,Q1641049,La Prosperitat,la prosperitat,Q3750926
Horta-Guinardó,Horta,Horta-Guinardó,horta guinardo,Q1771488,"Horta, Barcelona",horta,Q15225338
Sant Martí,Provençals del Poblenou,Sant Martí,sant marti,Q250935,Provençals del Poblenou,provencals del poblenou,Q6273541
Sant Andreu,el Congrés i els Indians,Sant Andreu,sant andreu,Q1650230,El Congrés i els Indians,el congres i els indians,Q3813818
Sant Martí,el Clot,Sant Martí,sant marti,Q250935,El Clot,el clot,Q2979686
Horta-Guinardó,Montbau,Horta-Guinardó,horta guinardo,Q1771488,Montbau,montbau,Q3298502
Horta-Guinardó,la Vall d'Hebron,Horta-Guinardó,horta guinardo,Q1771488,Vall d'Hebron,la vall d hebron,Q3298492
Nou Barris,les Roquetes,Nou Barris,nou barris,Q1641049,Les Roquetes,les roquetes,Q1627690
Horta-Guinardó,la Teixonera,Horta-Guinardó,horta guinardo,Q1771488,La Teixonera,la teixonera,Q3320705
Sants-Montjuïc,la Marina de Port,Sants-Montjuïc,sants montjuic,Q753075,La Marina de Port,la marina de port,Q3751076
Gràcia,Vallcarca i els Penitents,Gràcia,gracia,Q852697,Vallcarca i els Penitents,vallcarca i els penitents,Q2057331
Horta-Guinardó,el Carmel,Horta-Guinardó,horta guinardo,Q1771488,El Carmel,el carmel,Q3319498
Les Corts,Pedralbes,Les Corts,les corts,Q959944,Pedralbes,pedralbes,Q2562684
Nou Barris,el Turó de la Peira,Nou Barris,nou barris,Q1641049,El Turó de la Peira,el turo de la peira,Q524311
Nou Barris,la Guineueta,Nou Barris,nou barris,Q1641049,La Guineueta,la guineueta,Q2736697
Sant Andreu,la Trinitat Vella,Sant Andreu,sant andreu,Q1650230,Trinitat Vella,la trinitat vella,Q6746220
Horta-Guinardó,la Font d'en Fargues,Horta-Guinardó,horta guinardo,Q1771488,La Font d'en Fargues,la font d en fargues,Q3297889
Sarrià-Sant Gervasi,Sarrià,Sarrià-Sant Gervasi,sarria sant gervasi,Q1765582,Sarrià,sarria,Q3043699
Horta-Guinardó,Can Baró,Horta-Guinardó,horta guinardo,Q1771488,Can Baró,can baro,Q3321797
Nou Barris,Canyelles,Nou Barris,nou barris,Q1641049,Canyelles,canyelles,Q3751386
Sants-Montjuïc,Hostafrancs,Sants-Montjuïc,sants montjuic,Q753075,Hostafrancs,hostafrancs,Q3750929
Eixample,Sant Antoni,Eixample,eixample,Q64124,Sant Antoni,sant antoni,Q720994
Gràcia,el Coll,Gràcia,gracia,Q852697,el Coll,el coll,Q1932090
Sants-Montjuïc,la Marina del Prat Vermell,Sants-Montjuïc,sants montjuic,Q753075,La Marina del Prat Vermell,la marina del prat vermell,Q3596095
Gràcia,el Camp d'en Grassot i Gràcia Nova,Gràcia,gracia,Q852697,Camp d'en Grassot i Gràcia Nova,el camp d en grassot i gracia nova,Q2994821
Nou Barris,Ciutat Meridiana,Nou Barris,nou barris,Q1641049,Ciutat Meridiana,ciutat meridiana,Q3320722
Sant Andreu,Baró de Viver,Sant Andreu,sant andreu,Q1650230,Baró de Viver,baro de viver,Q1425291
Horta-Guinardó,Sant Genís dels Agudells,Horta-Guinardó,horta guinardo,Q1771488,Sant Genís dels Agudells,sant genis dels agudells,Q3298510
