"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Índex RFD Barcelona = 100"
2017,1,"Ciutat Vella",1,"el Raval",47986,"71.2"
2017,1,"Ciutat Vella",2,"el Barri Gòtic",16240,"106.1"
2017,1,"Ciutat Vella",3,"la Barceloneta",15101,"79.6"
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22923,"99.4"
2017,2,"Eixample",5,"el Fort Pienc",32048,"106.5"
2017,2,"Eixample",6,"la Sagrada Família",51651,"101.8"
2017,2,"Eixample",7,"la Dreta de l'Eixample",44246,"175.9"
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",42512,"137.2"
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58315,"110.2"
2017,2,"Eixample",10,"Sant Antoni",38412,"104.2"
2017,3,"Sants-Montjuïc",11,"el Poble Sec",40358,"82.2"
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1151,"40.0"
2017,3,"Sants-Montjuïc",13,"la Marina de Port",30622,"69.3"
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10422,"82.9"
2017,3,"Sants-Montjuïc",15,"Hostafrancs",15949,"99.0"
2017,3,"Sants-Montjuïc",16,"la Bordeta",18561,"79.0"
2017,3,"Sants-Montjuïc",17,"Sants - Badal",24047,"81.0"
2017,3,"Sants-Montjuïc",18,"Sants",41244,"99.0"
2017,4,"Les Corts",19,"les Corts",46104,"120.0"
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon",23980,"114.2"
2017,4,"Les Corts",21,"Pedralbes",12117,"248.8"
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4689,"144.1"
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià",25106,"193.6"
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16660,"215.8"
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25909,"184.6"
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47753,"192.1"
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29617,"144.6"
2017,6,"Gràcia",28,"Vallcarca i els Penitents",15615,"112.5"
2017,6,"Gràcia",29,"el Coll",7428,"87.0"
2017,6,"Gràcia",30,"la Salut",13207,"109.9"
2017,6,"Gràcia",31,"la Vila de Gràcia",50885,"104.4"
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34431,"105.7"
2017,7,"Horta-Guinardó",33,"el Baix Guinardó",25734,"92.0"
2017,7,"Horta-Guinardó",34,"Can Baró",9020,"83.3"
2017,7,"Horta-Guinardó",35,"el Guinardó",36538,"79.1"
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues",9390,"92.5"
2017,7,"Horta-Guinardó",37,"el Carmel",31583,"54.2"
2017,7,"Horta-Guinardó",38,"la Teixonera",11634,"73.7"
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6971,"84.1"
2017,7,"Horta-Guinardó",40,"Montbau",5171,"79.8"
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron",5792,"95.8"
2017,7,"Horta-Guinardó",42,"la Clota",611,"93.5"
2017,7,"Horta-Guinardó",43,"Horta",26743,"79.8"
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25618,"63.8"
2017,8,"Nou Barris",45,"Porta",25046,"64.4"
2017,8,"Nou Barris",46,"el Turó de la Peira",15506,"51.9"
2017,8,"Nou Barris",47,"Can Peguera",2233,"51.5"
2017,8,"Nou Barris",48,"la Guineueta",15247,"53.8"
2017,8,"Nou Barris",49,"Canyelles",6863,"52.2"
2017,8,"Nou Barris",50,"les Roquetes",15648,"49.7"
2017,8,"Nou Barris",51,"Verdun",12368,"51.3"
2017,8,"Nou Barris",52,"la Prosperitat",26398,"56.0"
2017,8,"Nou Barris",53,"la Trinitat Nova",7271,"48.2"
2017,8,"Nou Barris",54,"Torre Baró",2859,"46.5"
2017,8,"Nou Barris",55,"Ciutat Meridiana",10369,"38.6"
2017,8,"Nou Barris",56,"Vallbona",1379,"40.9"
2017,9,"Sant Andreu",57,"la Trinitat Vella",10006,"47.1"
2017,9,"Sant Andreu",58,"Baró de Viver",2539,"68.9"
2017,9,"Sant Andreu",59,"el Bon Pastor",12582,"65.1"
2017,9,"Sant Andreu",60,"Sant Andreu",57223,"77.7"
2017,9,"Sant Andreu",61,"la Sagrera",29031,"77.1"
2017,9,"Sant Andreu",62,"el Congrés i els Indians",14141,"75.1"
2017,9,"Sant Andreu",63,"Navas",22171,"81.6"
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38371,"81.7"
2017,10,"Sant Martí",65,"el Clot",27089,"83.6"
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",15204,"100.4"
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9404,"164.2"
2017,10,"Sant Martí",68,"el Poblenou",33931,"99.9"
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13710,"150.1"
2017,10,"Sant Martí",70,"el Besòs i el Maresme",22893,"60.4"
2017,10,"Sant Martí",71,"Provençals del Poblenou",20649,"102.3"
2017,10,"Sant Martí",72,"Sant Martí de Provençals",26187,"67.4"
2017,10,"Sant Martí",73,"la Verneda i la Pau",28725,"57.0"
